,QE,Prune,Ordering,Runtime
0,1_3,unpruned,random,0.093956947
1,1_3,unpruned,random,0.078104019
2,1_3,unpruned,random,0.093727589
3,1_3,unpruned,random,0.078109026
4,1_3,unpruned,random,0.07814908
5,1_3,unpruned,random,0.093685389
6,1_3,unpruned,random,0.078276396
7,1_3,unpruned,random,0.078104496
8,1_3,unpruned,random,0.078070879
9,1_3,unpruned,random,0.078109741
10,1_3,unpruned,random,0.093725204
11,1_3,unpruned,random,0.078142643
12,1_3,unpruned,random,0.078108072
13,1_3,unpruned,random,0.093728065
14,1_3,unpruned,random,0.078433037
15,1_3,unpruned,random,0.078108311
16,1_3,unpruned,random,0.078105688
17,1_3,unpruned,random,0.078104973
18,1_3,unpruned,random,0.078073502
19,1_3,unpruned,random,0.078141689
20,1_3,unpruned,random,0.093727112
21,1_3,unpruned,random,0.062485456
22,1_3,unpruned,random,0.078105688
23,1_3,unpruned,random,0.078437328
24,1_3,unpruned,random,0.10934639
25,1_3,unpruned,random,0.093768358
26,1_3,unpruned,random,0.062447071
27,1_3,unpruned,random,0.078146696
28,1_3,unpruned,random,0.078105927
29,1_3,unpruned,random,0.062480927
30,1_3,unpruned,random,0.078106165
31,1_3,unpruned,random,0.078069448
32,1_3,unpruned,random,0.062521219
33,1_3,unpruned,random,0.094085693
34,1_3,unpruned,random,0.062488079
35,1_3,unpruned,random,0.062483788
36,1_3,unpruned,random,0.078104258
37,1_3,unpruned,random,0.078069687
38,1_3,unpruned,random,0.062489033
39,1_3,unpruned,random,0.062913179
40,1_3,unpruned,random,0.093734026
41,1_3,unpruned,random,0.078146458
42,1_3,unpruned,random,0.078069448
43,1_3,unpruned,random,0.062521935
44,1_3,unpruned,random,0.078068495
45,1_3,unpruned,random,0.078515053
46,1_3,unpruned,random,0.078140497
47,1_3,unpruned,random,0.093691349
48,1_3,unpruned,random,0.06252718
49,1_3,unpruned,random,0.078102589
50,1_3,unpruned,random,0.078391552
51,1_3,unpruned,random,0.093766212
52,1_3,unpruned,random,0.07810688
53,1_3,unpruned,random,0.06276083
54,1_3,unpruned,random,0.093775511
55,1_3,unpruned,random,0.081515789
56,1_3,unpruned,random,0.076775789
57,1_3,unpruned,random,0.077630043
58,1_3,unpruned,random,0.078384161
59,1_3,unpruned,random,0.071593046
60,1_3,unpruned,random,0.078108549
61,1_3,unpruned,random,0.07814908
62,1_3,unpruned,random,0.090689659
63,1_3,unpruned,random,0.107633352
64,1_3,unpruned,random,0.086406469
65,1_3,unpruned,random,0.075529814
66,1_3,unpruned,random,0.080248117
67,1_3,unpruned,random,0.074762821
68,1_3,unpruned,random,0.083353758
69,1_3,unpruned,random,0.08944726
70,1_3,unpruned,random,0.103707552
71,1_3,unpruned,random,0.099770546
72,1_3,unpruned,random,0.088726997
73,1_3,unpruned,random,0.072839499
74,1_3,unpruned,random,0.08078599
75,1_3,unpruned,random,0.087596893
76,1_3,unpruned,random,0.074367762
77,1_3,unpruned,random,0.082249403
78,1_3,unpruned,random,0.08545351
79,1_3,unpruned,random,0.08026433
