n_nodes,model_path,prune (y/n),|Q|,|e|,map/mpe,order_method,iteration,time
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,min_fill,0,34375000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,min_fill,1,27544000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,min_fill,2,45389000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,min_fill,3,18308000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,min_fill,4,12731000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,min_fill,0,21803000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,min_fill,1,12478000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,min_fill,2,21922000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,min_fill,3,13769000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,min_fill,4,61194000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,min_fill,0,63489000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,min_fill,1,17675000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,min_fill,2,12689000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,min_fill,3,32624000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,min_fill,4,31359000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,min_fill,0,64727000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,min_fill,1,49277000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,min_fill,2,59766000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,min_fill,3,31936000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,min_fill,4,73082000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,min_fill,0,17375000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,min_fill,1,21190000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,min_fill,2,11825000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,min_fill,3,8579000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,min_fill,4,25430000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,min_fill,0,123580000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,min_fill,1,75381000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,min_fill,2,84490000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,min_fill,3,82687000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,min_fill,4,84053000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,min_fill,0,93372000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,min_fill,1,98359000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,min_fill,2,155202000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,min_fill,3,100261000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,min_fill,4,179079000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,min_fill,0,75849000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,min_fill,1,83568000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,min_fill,2,71652000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,min_fill,3,63078000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,min_fill,4,95493000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,min_fill,0,121982000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,min_fill,1,171516000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,min_fill,2,97628000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,min_fill,3,103214000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,min_fill,4,97322000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,min_fill,0,119207000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,min_fill,1,71232000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,min_fill,2,96515000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,min_fill,3,83450000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,min_fill,4,121964000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,min_fill,0,238672000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,min_fill,1,232270000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,min_fill,2,206799000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,min_fill,3,239947000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,min_fill,4,309896000
15,testing/rand_bn_nodes_15_2.BIFXML,True,5,5,map,min_fill,0,167703000
15,testing/rand_bn_nodes_15_2.BIFXML,True,5,5,map,min_fill,1,196988000
15,testing/rand_bn_nodes_15_2.BIFXML,True,5,5,map,min_fill,2,194811000
15,testing/rand_bn_nodes_15_2.BIFXML,True,5,5,map,min_fill,3,242974000
15,testing/rand_bn_nodes_15_2.BIFXML,True,5,5,map,min_fill,4,153980000
15,testing/rand_bn_nodes_15_3.BIFXML,True,5,5,map,min_fill,0,275663000
15,testing/rand_bn_nodes_15_3.BIFXML,True,5,5,map,min_fill,1,238550000
15,testing/rand_bn_nodes_15_3.BIFXML,True,5,5,map,min_fill,2,255738000
15,testing/rand_bn_nodes_15_3.BIFXML,True,5,5,map,min_fill,3,256577000
15,testing/rand_bn_nodes_15_3.BIFXML,True,5,5,map,min_fill,4,264757000
15,testing/rand_bn_nodes_15_4.BIFXML,True,5,5,map,min_fill,0,186686000
15,testing/rand_bn_nodes_15_4.BIFXML,True,5,5,map,min_fill,1,170768000
15,testing/rand_bn_nodes_15_4.BIFXML,True,5,5,map,min_fill,2,141080000
15,testing/rand_bn_nodes_15_4.BIFXML,True,5,5,map,min_fill,3,156557000
15,testing/rand_bn_nodes_15_4.BIFXML,True,5,5,map,min_fill,4,130017000
15,testing/rand_bn_nodes_15_5.BIFXML,True,5,5,map,min_fill,0,236550000
15,testing/rand_bn_nodes_15_5.BIFXML,True,5,5,map,min_fill,1,212246000
15,testing/rand_bn_nodes_15_5.BIFXML,True,5,5,map,min_fill,2,192075000
15,testing/rand_bn_nodes_15_5.BIFXML,True,5,5,map,min_fill,3,226144000
15,testing/rand_bn_nodes_15_5.BIFXML,True,5,5,map,min_fill,4,172268000
20,testing/rand_bn_nodes_20_1.BIFXML,True,6,6,map,min_fill,0,1249536000
20,testing/rand_bn_nodes_20_1.BIFXML,True,6,6,map,min_fill,1,1516011000
20,testing/rand_bn_nodes_20_1.BIFXML,True,6,6,map,min_fill,2,1464289000
20,testing/rand_bn_nodes_20_1.BIFXML,True,6,6,map,min_fill,3,1417330000
20,testing/rand_bn_nodes_20_1.BIFXML,True,6,6,map,min_fill,4,1219043000
20,testing/rand_bn_nodes_20_2.BIFXML,True,6,6,map,min_fill,0,477493000
20,testing/rand_bn_nodes_20_2.BIFXML,True,6,6,map,min_fill,1,502001000
20,testing/rand_bn_nodes_20_2.BIFXML,True,6,6,map,min_fill,2,436740000
20,testing/rand_bn_nodes_20_2.BIFXML,True,6,6,map,min_fill,3,512587000
20,testing/rand_bn_nodes_20_2.BIFXML,True,6,6,map,min_fill,4,495067000
20,testing/rand_bn_nodes_20_3.BIFXML,True,6,6,map,min_fill,0,785855000
20,testing/rand_bn_nodes_20_3.BIFXML,True,6,6,map,min_fill,1,733175000
20,testing/rand_bn_nodes_20_3.BIFXML,True,6,6,map,min_fill,2,754652000
20,testing/rand_bn_nodes_20_3.BIFXML,True,6,6,map,min_fill,3,829406000
20,testing/rand_bn_nodes_20_3.BIFXML,True,6,6,map,min_fill,4,824080000
20,testing/rand_bn_nodes_20_4.BIFXML,True,6,6,map,min_fill,0,2426314000
20,testing/rand_bn_nodes_20_4.BIFXML,True,6,6,map,min_fill,1,2340831000
20,testing/rand_bn_nodes_20_4.BIFXML,True,6,6,map,min_fill,2,1869069000
20,testing/rand_bn_nodes_20_4.BIFXML,True,6,6,map,min_fill,3,1878657000
20,testing/rand_bn_nodes_20_4.BIFXML,True,6,6,map,min_fill,4,1899116000
20,testing/rand_bn_nodes_20_5.BIFXML,True,6,6,map,min_fill,0,816864000
20,testing/rand_bn_nodes_20_5.BIFXML,True,6,6,map,min_fill,1,725674000
20,testing/rand_bn_nodes_20_5.BIFXML,True,6,6,map,min_fill,2,829467000
20,testing/rand_bn_nodes_20_5.BIFXML,True,6,6,map,min_fill,3,833486000
20,testing/rand_bn_nodes_20_5.BIFXML,True,6,6,map,min_fill,4,845509000
25,testing/rand_bn_nodes_25_1.BIFXML,True,8,8,map,min_fill,0,4995299000
25,testing/rand_bn_nodes_25_1.BIFXML,True,8,8,map,min_fill,1,5010274000
25,testing/rand_bn_nodes_25_1.BIFXML,True,8,8,map,min_fill,2,5211492000
25,testing/rand_bn_nodes_25_1.BIFXML,True,8,8,map,min_fill,3,5532060000
25,testing/rand_bn_nodes_25_1.BIFXML,True,8,8,map,min_fill,4,5149973000
25,testing/rand_bn_nodes_25_2.BIFXML,True,8,8,map,min_fill,0,3917635000
25,testing/rand_bn_nodes_25_2.BIFXML,True,8,8,map,min_fill,1,6492885000
