n_nodes,model_path,prune (y/n),|Q|,|e|,map/mpe,order_method,iteration,time
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,random,0,16850000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,random,1,52589000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,random,2,14842000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,random,3,21322000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,random,4,21453000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,random,0,29215000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,random,1,31696000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,random,2,19526000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,random,3,23489000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,random,4,15229000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,random,0,20805000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,random,1,42247000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,random,2,27852000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,random,3,41439000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,random,4,19091000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,random,0,161571000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,random,1,15794000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,random,2,16453000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,random,3,15294000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,random,4,28491000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,random,0,18063000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,random,1,28932000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,random,2,18204000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,random,3,20581000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,random,4,24912000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,random,0,78667000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,random,1,58015000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,random,2,78759000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,random,3,65938000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,random,4,72224000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,random,0,117396000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,random,1,84015000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,random,2,73505000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,random,3,71539000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,random,4,84900000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,random,0,78756000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,random,1,38161000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,random,2,48029000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,random,3,64806000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,random,4,73392000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,random,0,82869000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,random,1,71473000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,random,2,155504000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,random,3,172796000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,random,4,115334000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,random,0,93603000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,random,1,87784000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,random,2,90374000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,random,3,91021000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,random,4,107731000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,random,0,275967000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,random,1,186571000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,random,2,208728000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,random,3,197238000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,random,4,311950000
15,testing/rand_bn_nodes_15_2.BIFXML,True,5,5,map,random,0,196220000
15,testing/rand_bn_nodes_15_2.BIFXML,True,5,5,map,random,1,164618000
